year,month,decimal date,average,deseasonalized,ndays,sdev,unc
2000,1,2000.0417,369.45,369.24,26,0.48,0.18
2000,2,2000.1250,369.71,368.99,19,0.48,0.21
2000,3,2000.2083,370.75,369.24,30,0.47,0.16
2000,4,2000.2917,371.98,369.44,27,0.58,0.21
2000,5,2000.3750,371.74,368.87,28,0.53,0.19
2000,6,2000.4583,371.87,369.66,28,0.24,0.09
2000,7,2000.5417,370.02,369.36,25,0.31,0.12
2000,8,2000.6250,368.27,369.87,27,0.42,0.15
2000,9,2000.7083,367.15,370.46,25,0.36,0.14
2000,10,2000.7917,367.18,370.42,30,0.27,0.09
2000,11,2000.8750,368.53,370.48,25,0.30,0.12
2000,12,2000.9583,369.83,370.46,30,0.38,0.13
2001,1,2001.0417,370.76,370.60,30,0.56,0.20
2001,2,2001.1250,371.69,370.95,26,0.61,0.23
2001,3,2001.2083,372.63,371.06,26,0.46,0.17
2001,4,2001.2917,373.55,370.99,29,0.56,0.20
2001,5,2001.3750,374.03,371.11,24,0.41,0.16
2001,6,2001.4583,373.40,371.18,26,0.37,0.14
2001,7,2001.5417,371.68,371.08,25,0.62,0.24
2001,8,2001.6250,369.78,371.39,27,0.60,0.22
2001,9,2001.7083,368.34,371.61,28,0.49,0.18
2001,10,2001.7917,368.61,371.85,31,0.33,0.11
2001,11,2001.8750,369.94,371.92,24,0.24,0.09
2001,12,2001.9583,371.42,372.09,29,0.40,0.14
2002,1,2002.0417,372.70,372.48,28,0.52,0.19
2002,2,2002.1250,373.37,372.49,28,0.66,0.24
2002,3,2002.2083,374.30,372.61,24,0.62,0.24
2002,4,2002.2917,375.19,372.54,29,0.55,0.19
2002,5,2002.3750,375.93,372.98,29,0.57,0.20
2002,6,2002.4583,375.69,373.46,28,0.46,0.17
2002,7,2002.5417,374.16,373.58,25,0.47,0.18
2002,8,2002.6250,372.03,373.70,28,0.65,0.24
2002,9,2002.7083,370.92,374.29,23,0.74,0.30
2002,10,2002.7917,370.73,374.06,31,0.62,0.21
2002,11,2002.8750,372.43,374.52,29,0.43,0.15
2002,12,2002.9583,373.98,374.72,31,0.46,0.16
2003,1,2003.0417,375.07,374.82,30,0.51,0.18
2003,2,2003.1250,375.82,374.95,27,0.58,0.21
2003,3,2003.2083,376.64,374.99,28,0.63,0.23
2003,4,2003.2917,377.92,375.24,27,0.37,0.14
2003,5,2003.3750,378.78,375.73,30,0.78,0.27
2003,6,2003.4583,378.46,376.22,25,0.39,0.15
2003,7,2003.5417,376.88,376.37,29,0.70,0.25
2003,8,2003.6250,374.57,376.27,23,0.57,0.23
2003,9,2003.7083,373.34,376.65,25,0.37,0.14
2003,10,2003.7917,373.31,376.65,30,0.33,0.12
2003,11,2003.8750,374.84,376.99,26,0.45,0.17
2003,12,2003.9583,376.17,376.93,27,0.40,0.15
2004,1,2004.0417,377.17,376.96,30,0.45,0.16
2004,2,2004.1250,378.05,377.19,29,0.74,0.26
2004,3,2004.2083,379.06,377.40,27,0.84,0.31
2004,4,2004.2917,380.54,377.80,26,0.52,0.19
2004,5,2004.3750,380.80,377.66,28,0.61,0.22
2004,6,2004.4583,379.87,377.57,21,0.47,0.19
2004,7,2004.5417,377.65,377.12,25,0.50,0.19
2004,8,2004.6250,376.17,377.90,16,0.45,0.21
2004,9,2004.7083,374.43,377.80,15,0.56,0.28
2004,10,2004.7917,374.63,377.99,29,0.19,0.07
2004,11,2004.8750,376.33,378.49,29,0.62,0.22
2004,12,2004.9583,377.68,378.48,30,0.29,0.10
2005,1,2005.0417,378.63,378.37,31,0.32,0.11
2005,2,2005.1250,379.91,379.10,24,0.60,0.24
2005,3,2005.2083,380.95,379.45,26,1.16,0.44
2005,4,2005.2917,382.48,379.84,26,0.53,0.20
2005,5,2005.3750,382.64,379.49,31,0.61,0.21
2005,6,2005.4583,382.40,380.07,28,0.21,0.08
2005,7,2005.5417,380.93,380.38,29,0.38,0.13
2005,8,2005.6250,378.93,380.61,26,0.53,0.20
2005,9,2005.7083,376.89,380.20,27,0.51,0.19
2005,10,2005.7917,377.19,380.50,14,0.15,0.08
2005,11,2005.8750,378.54,380.69,23,0.45,0.18
2005,12,2005.9583,380.31,381.09,26,0.39,0.15
2006,1,2006.0417,381.58,381.33,24,0.31,0.12
2006,2,2006.1250,382.40,381.58,25,0.51,0.20
2006,3,2006.2083,382.86,381.32,29,0.55,0.20
2006,4,2006.2917,384.80,382.11,25,0.49,0.19
2006,5,2006.3750,385.22,382.06,24,0.45,0.17
2006,6,2006.4583,384.24,381.93,28,0.43,0.16
2006,7,2006.5417,382.65,382.10,24,0.32,0.12
2006,8,2006.6250,380.60,382.27,27,0.47,0.17
2006,9,2006.7083,379.04,382.35,25,0.42,0.16
2006,10,2006.7917,379.33,382.66,23,0.40,0.16
2006,11,2006.8750,380.35,382.52,29,0.39,0.14
2006,12,2006.9583,382.02,382.84,27,0.38,0.14
2007,1,2007.0417,383.10,382.88,24,0.76,0.30
2007,2,2007.1250,384.12,383.22,21,0.81,0.34
2007,3,2007.2083,384.81,383.17,27,0.63,0.23
2007,4,2007.2917,386.73,383.95,25,0.76,0.29
2007,5,2007.3750,386.78,383.56,29,0.64,0.23
2007,6,2007.4583,386.33,384.06,26,0.42,0.16
2007,7,2007.5417,384.73,384.25,27,0.44,0.16
2007,8,2007.6250,382.24,383.95,22,0.64,0.26
2007,9,2007.7083,381.20,384.56,21,0.45,0.19
2007,10,2007.7917,381.37,384.72,29,0.19,0.07
2007,11,2007.8750,382.70,384.90,30,0.31,0.11
2007,12,2007.9583,384.19,385.07,22,0.34,0.14
2008,1,2008.0417,385.78,385.54,31,0.56,0.19
2008,2,2008.1250,386.06,385.20,26,0.58,0.22
2008,3,2008.2083,386.28,384.72,30,0.60,0.21
2008,4,2008.2917,387.33,384.71,22,1.19,0.49
2008,5,2008.3750,388.78,385.69,25,0.57,0.22
2008,6,2008.4583,387.99,385.68,23,0.49,0.20
2008,7,2008.5417,386.61,386.05,10,0.96,0.58
2008,8,2008.6250,384.32,385.98,25,0.66,0.25
2008,9,2008.7083,383.41,386.69,27,0.34,0.12
2008,10,2008.7917,383.22,386.50,23,0.27,0.11
2008,11,2008.8750,384.41,386.58,28,0.29,0.11
2008,12,2008.9583,385.79,386.64,29,0.27,0.10
2009,1,2009.0417,387.17,386.86,30,0.38,0.13
2009,2,2009.1250,387.70,386.81,26,0.49,0.18
2009,3,2009.2083,389.04,387.54,28,0.68,0.25
2009,4,2009.2917,389.76,387.15,29,0.85,0.30
2009,5,2009.3750,390.36,387.24,30,0.51,0.18
2009,6,2009.4583,389.70,387.46,29,0.60,0.21
2009,7,2009.5417,388.24,387.77,22,0.31,0.13
2009,8,2009.6250,386.29,387.99,28,0.62,0.22
